pays,pauvrete,pib,chomage,inflation,indice_gini,dep_educ,esp_vie,electricite,fertilite,pop_rurale,corruption,ide
Albanie,1.2,5396.214243,11.466,1.41109079,30.1,3.916239977,79.282,100,1.414,38.771,1.174430847,Positif
Arménie,9.8,4828.504886,12.2,1.443446608,30,2.571912289,75.439,100,1.575,36.781,,Positif
Autriche,0.7,50067.58573,4.56,1.530895642,30.2,5.217790127,81.89512195,100,1.46,41.485,-1.419310093,Négatif
Belgique,0.1,46641.7214,5.36,1.43681957,27.2,6.33397007,81.99512195,100,1.6,1.959,,Négatif
Bulgarie,2.8,9874.336326,4.23,3.103729448,40.3,4.199029922,75.11219512,<100,1.58,24.653,-1.05461812,Positif
Bolivie,5.7,3472.380831,3.682,1.83954505,41.6,8.091039658,67.841,<100,2.688,30.227,-0.5642740726,Négatif
Brésil,10.8,8845.324149,11.936,3.732976212,53.5,5.963469982,75.338,<100,1.703,13.176,1.176189423,Positif
Canada,0.5,46352.86934,5.69,1.949269024,31.7,4.772930145,82.22390244,100,1.47,18.518,,Positif
Chine,2.5,10143.86022,4.56,2.899234164,38.2,4.059394836,77.968,100,1.496,39.692,1.072382092,Positif
Colombie,13.7,6436.509215,10.28,3.523019327,51.3,,76.752,<100,1.765,18.896,,Positif
Costa Rica,3.5,12669.34115,10.807,2.096046353,48.2,6.738080025,79.427,<100,1.632,19.924,-0.1071162447,Positif
Chypre,0.2,29419.99219,7.155,0.2503709968,31.2,5.212600231,81.397,100,1.332,33.195,-0.2270398587,Positif
Allemagne,0.2,46805.13843,3.136,1.445659769,31.8,5.11552,81.29268293,100,1.54,22.624,1.780229092,Positif
Danemark,0.3,59592.98069,5.018,0.7581315725,27.7,7.255050182,81.45121951,100,1.7,12.006,0.2396148443,Négatif
République dominicaine,3.5,8173.344699,6.356,1.81060377,41.9,4.042768955,73.577,<100,2.344,18.172,1.788073659,Positif
Équateur,9.9,6203.727051,3.812,0.2660125155,45.7,4.245779991,77.297,<100,2.088,36.014,1.521324396,Positif
Égypte. République arabe d’,17.6,3017.258336,7.851,9.152799593,31.9,,71.358,100,3.001,57.27,,Positif
Espagne,1.1,29581.51855,14.104,0.6995189945,34.3,4.230219841,83.83170732,100,1.23,19.435,-0.8496819735,Positif
Estonie,0.9,23581.65684,4.514,2.277259312,30.8,5.260419846,78.64634146,100,1.66,30.949,-1.4969697,Positif
Finlande,0.1,48629.85823,6.695,1.02409393,27.7,6.416950226,81.98292683,100,1.35,14.554,1.448797941,Positif
Fidji,12.4,5927.72419,4.38,1.773101825,30.7,5.152731895,67.893,<100,2.519,43.25,-0.3293597698,Positif
France,0.1,40494.89829,8.415,1.108254923,31.2,5.354430199,82.82682927,100,1.86,19.291,-0.2194932997,Positif
Royaume-Uni,0.5,42662.53537,3.737,1.738104601,32.8,5.261159897,81.40487805,100,1.63,16.348,-1.017209649,Positif
Géorgie,18.5,4741.283272,11.565,4.852898217,35.9,3.829859972,73.47,100,2.011,40.961,-0.1812205166,Positif
Grèce,1.3,19143.88762,17.045,0.253007522,33.1,3.586129904,81.63902439,100,1.34,20.612,-0.03805662319,Positif
Honduras,26.4,2498.509186,5.551,4.365871598,48.2,5.932459831,72.881,<100,2.427,42.27,1.102298617,Positif
Croatie,0.6,15218.5258,6.617,0.7718203465,28.9,3.920079947,78.42439024,100,1.47,42.758,-0.6472597718,Positif
Hongrie,0.9,16786.21364,3.419,3.338586354,30,4.224880219,76.3195122,100,1.55,28.356,0.006896551698,Positif
Indonésie,23.4,4151.227554,3.59,3.03058665,35.4,0.9643990993,70.518,<100,2.215,44.015,-0.1912553757,Positif
Inde,44,2050.1638,6.51,3.729505735,33.8,3.897323608,70.91,<100,2.109,65.528,1.176189423,Positif
Irlande,0.1,80848.3019,4.95,0.9378429612,30.8,3.296169996,82.70243902,100,1.71,36.595,-0.7813657522,Négatif
Iran. République islamique d’,5.6,3276.753265,10.74,39.90734557,36.5,3.240050077,76.103,100,1.77,24.609,-0.407892704,Positif
Israël,1.2,44452.23256,3.731,0.8497831283,38.3,6.041470051,82.80487805,100,3.01,7.499,1.159040928,Positif
Italie,1.3,33673.75096,9.952,0.6112469438,34.6,4.095270157,83.49756098,100,1.27,29.264,0.76798594,Positif
Kazakhstan,0.5,9812.595526,4.8,5.333560989,28,3.353821278,73.18,100,2.9,42.46,1.572299004,Positif
République kirghize,11.7,1451.515638,4.252,1.133622577,29.7,6.073181152,71.6,<100,3.3,63.409,0.6854458451,Positif
Corée. République de,0.2,31902.4169,3.746,0.3830003036,33.2,4.684659958,83.22682927,100,0.918,18.57,-1.234152675,Positif
Sri Lanka,11.3,4082.694049,4.67,3.528393582,37.7,,76.008,<100,2.019,81.415,,Positif
Lituanie,0.7,19615.54915,6.255,2.33450938,35.3,3.964099884,76.28292683,100,1.61,32.145,1.729896784,Positif
Luxembourg,0.1,112726.4397,5.595,1.743320757,34.2,3.736069918,82.63902439,100,1.34,8.777,,Positif
Lettonie,0.8,17883.34941,6.312,2.811409201,34.5,4.43584013,75.38780488,100,1.61,31.778,1.94492662,Positif
Moldova,0.4,4405.334182,1.502,4.837783514,26,6.225769997,70.935,100,1.78,57.274,,Positif
Macédoine du Nord,7.5,6718.858266,17.414,0.7664395735,33.5,,76.60243902,100,1.34,41.792,,Positif
Malte,0.4,31751.18118,3.627,1.642060018,31,4.899350166,82.85853659,100,1.14,5.322,0.9789308906,Positif
Monténégro,4.2,8909.653876,15.128,0.3615637045,35.7,,76.68292683,100,1.77,32.85,,Positif
Mozambique,88.6,512.2157569,3.632,2.802703079,50.3,6.286394119,61.166,<100,4.783,63.472,-0.3126143813,Positif
Mauritanie,25.8,1800.875187,10.416,2.300092621,32,1.82317996,65.687,<100,4.521,45.493,-0.563736856,Négatif
Malawi,89.1,587.1154647,4.949,9.370836056,38.5,,64.119,<100,4.072,82.826,,Positif
Pays-Bas,0.1,52476.27325,3.38,2.633699102,29.2,5.159860134,82.11219512,100,1.57,8.124,-1.217361093,Négatif
Norvège,0.3,76430.58895,3.687,2.167730033,27.7,7.864560127,82.95853659,100,1.53,17.384,-1.555470347,Positif
Panama,3.7,16472.83175,6.332,-0.355083821,49.8,3.093294144,77.81,<100,2.375,31.941,-1.436109304,Positif
Pérou,9.6,6956.495749,3.379,2.252121914,41.5,3.822429895,76.156,<100,2.242,21.901,-0.2836156785,Positif
Pologne,0.2,15700.01358,3.277,2.227478809,28.8,4.67881012,77.90487805,100,1.44,39.963,-1.058385015,Positif
Portugal,0.2,23330.81729,6.464,0.33817841,32.8,4.630020142,81.67560976,100,1.43,34.236,0.8510129452,Positif
Paraguay,5.1,5807.838794,6.595,2.757097276,45.7,3.489830256,73.621,<100,2.525,38.121,0.6268571019,Positif
Roumanie,4.7,12957.99911,3.912,3.827854326,34.8,3.566950083,75.60731707,100,1.77,45.916,,Positif
Fédération de Russie,0.5,11447.70117,4.496,4.470366608,35.7,3.695614338,73.08390244,<100,1.504,25.413,0.01487859245,Positif
El Salvador,6.6,4280.288404,4.17,0.075324135,38.8,3.387109995,72.559,<100,1.838,27.254,,Positif
Serbie,4,7417.206608,10.395,1.849229845,34.5,3.616470098,75.93658537,<100,1.52,43.74,0.4279067516,Positif
République slovaque,0.5,19381.89055,5.761,2.664561334,23.2,4.273119926,77.66585366,100,1.57,46.271,0.5989503264,Positif
Suède,0.4,51939.42974,6.833,1.784150974,29.3,7.638510227,83.1097561,100,1.71,12.292,0.533485949,Positif
Thaïlande,0.6,7628.576033,0.716,0.7067286013,34.9,3.022214174,78.975,<100,1.352,49.308,1.865103364,Positif
Turquie,2,9215.440875,13.73,15.17682157,43.8,4.447760105,77.832,100,1.967,24.37,-0.8804851174,Positif
Ouganda,71.8,823.0247329,3.185,2.867588034,42.7,2.308280706,62.991,<100,4.809,75.639,0.5216077566,Positif
Ukraine,0.3,3661.457764,8.194,7.886717456,26.6,5.441299915,71.82731707,100,1.228,30.527,2.12164855,Positif
Uruguay,0.5,18149.05629,8.734,7.881988709,39.7,4.628339767,77.508,<100,1.546,4.574,-0.8389903903,Positif
États-Unis,1.2,65548.07078,3.669,1.812210075,41.5,4.95746994,78.78780488,100,1.706,17.541,-0.6561695337,Positif
Vanuatu,34.9,3076.589886,5.445,2.762520194,32.3,1.774070024,69.877,<100,3.813,74.606,,Positif
Zimbabwe,64.5,1421.868596,7.373,255.3049908,50.3,,61.292,<100,3.599,67.79,,Positif
